origin,destination,distance_meters,duration_walking_sec,duration_walking_min,duration_public_transport_sec,duration_public_transport_min
Karlsplatz                                         , Schönbrunn                                         ,6340,5460,91,,
Karlsplatz                                         , Prater / Riesenrad                                 ,3156,2617,44,,
Karlsplatz                                         , Mittelalterlicher Adventmarkt                      ,1823,1544,26,,
Karlsplatz                                         , Weihnachtsmarkt am Michaelerplatz                  ,1105,941,16,,
Karlsplatz                                         , Schloss Wilhelminenberg                            ,7290,6643,111,,
Karlsplatz                                         , Advent in der Stallburg                            ,991,853,15,,
Karlsplatz                                         , Adventmarkt Mariahilf                              ,1624,1498,25,,
Karlsplatz                                         , IKEA Westbahnhof                                   ,2966,2641,45,,
Karlsplatz                                         , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),7813,6484,109,,
Karlsplatz                                         , Adventmark Verkehrsmuseum Remise                   ,3163,2620,44,,
Karlsplatz                                         , Weihnacht im Wald                                  ,2372,1995,34,,
Karlsplatz                                         , Adventmarkt Favoriten                              ,1823,1544,26,,
Karlsplatz                                         , Winterzauber im Böhmischen Prater                  ,4992,4268,72,,
Karlsplatz                                         , Adventmarkt Meidling                               ,1823,1544,26,,
Karlsplatz                                         , Ottakringer Weihnachtszauber                       ,5269,4541,76,,
Karlsplatz                                         , Adventmarkt im Schloss Neugebäude                  ,7496,6157,103,,
Messe                                              , MQ                                                 ,5059,4336,73,,
Messe                                              , Altes AKH                                          ,4901,4222,71,,
Messe                                              , Am Hof                                             ,3792,3221,54,,
Messe                                              , Spittelberg                                        ,5249,4371,73,,
Messe                                              , Stephansplatz                                      ,3638,2983,50,,
Messe                                              , Opera                                              ,9532,8063,135,,
Messe                                              , Türkenschanzpark                                   ,6900,6076,102,,
